"productId","manufacturer","title","handle","status","referencePrice","lowest","average","highest","samples","sampledShops","totalShops"
"cmlazbf6k001xu91s5y0ryqs5","BioBizz","Bio Heaven 5 Liter","bio-heaven-5-liter-biobizz","ok","234.99","199.9","199.9","199.9","1","1","1"
"cmlazbf8s0021u91sg3q81n3g","BioBizz","TopMax 250ml","topmax-250ml-biobizz","ok","6.99","8.9","8.9","8.9","1","1","1"
"cmlazbfb40025u91s8bwy01jf","BioBizz","TopMax 500ml","topmax-500ml-biobizz","ok","11.99","14.9","14.9","14.9","1","1","1"
"cmlazbfd40029u91sqjp5088g","BioBizz","TopMax 1 Liter","topmax-1-liter-biobizz","ok","20.99","27.9","27.9","27.9","1","1","1"
"cmlazbff8002du91su1nqsiok","BioBizz","TopMax 5 Liter","topmax-5-liter-biobizz","ok","91.99","27.9","27.9","27.9","1","1","1"
"cmlazbfho002hu91s1xt59a8s","BioBizz","Calmag 250 ml","calmag-250-ml-biobizz","ok","3.99","5.5","5.5","5.5","1","1","1"
"cmlazbfjs002lu91s9ciafby0","BioBizz","Calmag 500 ml","calmag-500-ml-biobizz","ok","7.99","8.9","8.9","8.9","1","1","1"
"cmlazbfls002pu91sqwm62tl4","BioBizz","Calmag 1 Liter","calmag-1-liter-biobizz","ok","10.99","59.9","59.9","59.9","1","1","1"
"cmlazbfo0002tu91sgzwtte1t","BioBizz","Calmag 5 Liter","calmag-5-liter-biobizz","ok","45.99","59.9","59.9","59.9","1","1","1"
"cmlazbfqc002xu91s6z7p96sh","BioBizz","Alg-A-Mic 250ml","alg-a-mic-250ml-biobizz","ok","5.49","5.9","5.9","5.9","1","1","1"
"cmlazbfsk0031u91sqectik5c","BioBizz","Alg-A-Mic 500ml","alg-a-mic-500ml-biobizz","ok","8.49","9.9","9.9","9.9","1","1","1"
"cmlazbfus0035u91sbe4ah66t","BioBizz","Alg-A-Mic 1 Liter","alg-a-mic-1-liter-biobizz","ok","11.99","16.9","16.9","16.9","1","1","1"
"cmlazbfx60039u91sga8lxjdl","BioBizz","Alg-A-Mic 5 Liter","alg-a-mic-5-liter-biobizz","ok","52.99","16.9","16.9","16.9","1","1","1"
"cmlazbfz4003du91s6edvhme3","BioBizz","Acti Vera 250 ml","acti-vera-250-ml-biobizz","ok","6.99","7.9","7.9","7.9","1","1","1"
"cmlazbg18003hu91sjte4oku3","BioBizz","Acti Vera 1 Liter","acti-vera-1-liter-biobizz","ok","16.99","22.9","22.9","22.9","1","1","1"
"cmlazbg44003lu91se19ara2c","BioBizz","Microbes 150g","microbes-150g-biobizz","ok","57.99","69.9","69.9","69.9","1","1","1"
"cmlgwlw860001u99kzed647px","Growmax Water","Ersatzfilter-Set für Mega Grow","ersatzfilter-set-f-r-mega-grow-growmax-water","ok","32.99","39.9","39.9","39.9","1","1","1"
"cmlgwlwed0008u99k1c2ake3n","Growmax Water","Ersatzfilter-Set für Power und Mega Grow","ersatzfilter-set-f-r-power-und-mega-grow-growmax-water","ok","24.99","27.9","27.9","27.9","1","1","1"
